,price,priceEpsCurrentYear,priceToBook,EV/EBITDA,PB,PS,EV,EV/GP,epsForward,trailingPE
MGM,38.97,-11.6676655,3.129115,10.63,3.14,1.36,43590000000,9.374193548387098,,
MCHP,74.49,12.561551,6.71323,13.45,6.75,5.52,48240000000,10.840449438202247,,
MU,56.85,-30.23936,1.2579381,4.32,1.26,2.33,62430000000,4.49136690647482,,
MSFT,240.35,25.036457,10.326088,17.22,10.27,8.86,1740000000000,12.829966081698865,,
MAA,161.37,32.274,3.1217594,17.07,3.08,9.75,22950000000,21.857142857142858,,
MRNA,190.69,8.977872,4.101654,4.87,4.1,3.92,66680000000,4.810966810966811,,
MHK,111.18,8.545733,0.90343237,9.91,0.96,0.65,10080000000,3.0638297872340425,,
MOH,299.32,16.80629,5.7088366,8.62,5.77,0.56,12050000000,3.673780487804878,,
TAP,50.38,12.984536,0.828932,10.84,0.83,1.03,17110000000,4.224691358024692,,
MDLZ,67.02,22.873718,3.4399219,17.83,3.03,2.85,101010000000,8.978666666666667,,
MPWR,401.68,32.44588,12.318071,39.44,12.55,12.26,17120000000,24.97592857351268,,
MNST,102.17,44.421738,7.854397,,,,,,,
MCO,313.58,37.420044,25.471529,25.51,25.55,10.21,63850000000,13.941048034934498,,
MS,97.08,15.68336,1.7825272,,1.68,3.07,,,,
MSI,263.29,25.812746,-108.082924,24.44,,5.26,50050000000,12.358024691358025,,
MSCI,510.28,44.919014,-37.9475,33.17,,18.64,44180000000,26.297619047619047,,
NDAQ,63.37,23.734081,5.298495,,,,,,,
NTAP,64.77,11.972273,11.693446,9.33,11.49,2.21,13470000000,3.19194312871847,,
NFLX,326.22,31.458052,7.071907,7.56,7.22,4.78,155890000000,12.602263540824575,,
NWL,15.57,9.85443,1.7053668,10.64,1.69,0.65,12220000000,3.680722891566265,,
NEM,52.47,20.821428,1.960909,13.7,2.03,3.57,45450000000,9.108216432865731,,
NWSA,19.27,31.080647,1.4165994,10.02,1.42,1.11,13830000000,2.6045197740112993,,
NWS,19.62,,1.442329,10.02,1.45,1.13,13830000000,2.6045197740112993,,24.835443
NEE,85.74,29.770832,4.410721,,,,,,,
NKE,128.14,40.808914,13.005177,27.49,13.08,4.17,201690000000,9.389664804469273,,
NI,27.62,19.048275,1.9859074,11.8,2.0,2.18,23620000000,11.410628024836052,,
NDSN,242.05,25.69533,6.025041,18.97,6.07,5.48,14630000000,10.23076923076923,,
